Benchmarks	system.cpu.cpi	system.cpu.dcache.overallMissRate::total	system.cpu.icache.overallMissRate::total	system.l2.overallMissRate::total	system.cpu.dcache.overallAccesses::cpu.data	system.cpu.icache.overallAccesses::total	system.l2.demandAccesses::total	simSeconds
bzip2_L1s64kB_L1a4_L2s2MB	1.660740	0.013346	0.000067	0.316569	52159168	10236307	638091	0.083037
bzip2_L1s64kB_L1a4_L2s4MB	1.635076	0.013344	0.000067	0.283052	52165952	10236301	638091	0.081754
bzip2_L1s64kB_L1a8_L2s2MB	1.654375	0.012738	0.000066	0.333120	52158838	10236300	606382	0.082719
bzip2_L1s64kB_L1a8_L2s4MB	1.628651	0.012736	0.000066	0.297854	52165391	10236292	606381	0.081433
bzip2_L1s128kB_L1a4_L2s2MB	1.637125	0.010759	0.000066	0.401497	52156802	10236082	503114	0.081856
bzip2_L1s128kB_L1a4_L2s4MB	1.611404	0.010757	0.000066	0.358990	52163487	10236072	503114	0.080570
bzip2_L1s128kB_L1a8_L2s2MB	1.632979	0.010290	0.000066	0.422018	52156459	10236065	478645	0.081649
bzip2_L1s128kB_L1a8_L2s4MB	1.607446	0.010288	0.000066	0.377340	52163100	10236057	478648	0.080372
mcf_L1s64kB_L1a4_L2s2MB	1.107753	0.001930	0.000019	0.765596	35526700	26974215	50686	0.055388
mcf_L1s64kB_L1a4_L2s4MB	1.107436	0.001930	0.000019	0.762755	35526700	26974284	50686	0.055372
mcf_L1s64kB_L1a8_L2s2MB	1.107701	0.001914	0.000019	0.771609	35526700	26974165	50291	0.055385
mcf_L1s64kB_L1a8_L2s4MB	1.107384	0.001914	0.000019	0.768746	35526700	26974231	50291	0.055369
mcf_L1s128kB_L1a4_L2s2MB	1.107390	0.001846	0.000019	0.798079	35526700	26974149	48623	0.055369
mcf_L1s128kB_L1a4_L2s4MB	1.107072	0.001846	0.000019	0.795118	35526700	26974212	48623	0.055354
mcf_L1s128kB_L1a8_L2s2MB	1.107389	0.001839	0.000019	0.801061	35526700	26974128	48442	0.055369
mcf_L1s128kB_L1a8_L2s4MB	1.107072	0.001839	0.000019	0.798088	35526700	26974191	48442	0.055354
sjeng_L1s64kB_L1a4_L2s2MB	9.875443	0.121829	0.000018	0.999985	86382111	32134629	5263906	0.493772
sjeng_L1s64kB_L1a4_L2s4MB	9.871248	0.121829	0.000018	0.999985	86382111	32134633	5263906	0.493562
sjeng_L1s64kB_L1a8_L2s2MB	9.875515	0.121829	0.000018	0.999986	86382111	32134636	5263903	0.493776
sjeng_L1s64kB_L1a8_L2s4MB	9.871093	0.121829	0.000018	0.999986	86382111	32134636	5263903	0.493555
sjeng_L1s128kB_L1a4_L2s2MB	9.875216	0.121829	0.000018	0.999987	86382111	32134634	5263895	0.493761
sjeng_L1s128kB_L1a4_L2s4MB	9.871404	0.121829	0.000018	0.999987	86382111	32134634	5263895	0.493570
sjeng_L1s128kB_L1a8_L2s2MB	9.875216	0.121829	0.000018	0.999987	86382111	32134637	5263898	0.493761
sjeng_L1s128kB_L1a8_L2s4MB	9.871404	0.121829	0.000018	0.999987	86382111	32134637	5263898	0.493570
lbm_L1s64kB_L1a4_L2s2MB	3.435670	0.060971	0.000086	0.999980	48795047	6046201	1488129	0.171784
lbm_L1s64kB_L1a4_L2s4MB	3.431821	0.060971	0.000086	0.999980	48795047	6046201	1488129	0.171591
lbm_L1s64kB_L1a8_L2s2MB	3.435670	0.060971	0.000085	0.999983	48795048	6046205	1488125	0.171784
lbm_L1s64kB_L1a8_L2s4MB	3.431933	0.060971	0.000085	0.999983	48795048	6046205	1488125	0.171597
lbm_L1s128kB_L1a4_L2s2MB	3.435670	0.060971	0.000085	0.999983	48795048	6046205	1488125	0.171784
lbm_L1s128kB_L1a4_L2s4MB	3.431933	0.060971	0.000085	0.999983	48795048	6046205	1488125	0.171597
lbm_L1s128kB_L1a8_L2s2MB	3.435670	0.060971	0.000085	0.999983	48795048	6046205	1488125	0.171784
lbm_L1s128kB_L1a8_L2s4MB	3.431933	0.060971	0.000085	0.999983	48795048	6046205	1488125	0.171597
